TransactionId,UserId,VisitYear,VisitMonth,AttractionId,Rating,ContinentId,RegionId,CountryId,CityId,AttractionCityId,AttractionTypeId,Attraction,AttractionAddress,AttractionType,VisitModeID,VisitMode,CityName,Country,Region,Continent,VisitDate,RatingCategory,VisitYearMonth,UserVisitCount,AttractionVisitCount,AttractionAverageRating,AttractionPopularity,RatingScore,VisitYearGroup,UserAverageRating,CityVisitCount
199860,52715,2015,2,1166,4,2,8,51,1133.0,3,34,Malioboro Road,Yogyakarta,Flea & Street Markets,4,Friends,N'Djamena,United States,Northern America,America,2015-02-01,High,2015-02,3,1324,3.869335347432024,Highly Popular,0.8,2010-2015,4.333333333333333,1520.0
199861,52715,2015,3,1166,4,2,8,51,1133.0,3,34,Malioboro Road,Yogyakarta,Flea & Street Markets,5,Solo,N'Djamena,United States,Northern America,America,2015-03-01,High,2015-03,3,1324,3.869335347432024,Highly Popular,0.8,2010-2015,4.333333333333333,1520.0
199862,52715,2015,5,1166,5,2,8,51,1133.0,3,34,Malioboro Road,Yogyakarta,Flea & Street Markets,5,Solo,N'Djamena,United States,Northern America,America,2015-05-01,High,2015-05,3,1324,3.869335347432024,Highly Popular,1.0,2010-2015,4.333333333333333,1520.0
199863,52825,2019,9,1166,5,2,8,51,1133.0,3,34,Malioboro Road,Yogyakarta,Flea & Street Markets,2,Couples,N'Djamena,United States,Northern America,America,2019-09-01,High,2019-09,1,1324,3.869335347432024,Highly Popular,1.0,2016-2020,5.0,1520.0
199867,52936,2018,1,1166,5,2,8,51,1133.0,3,34,Malioboro Road,Yogyakarta,Flea & Street Markets,3,Family,N'Djamena,United States,Northern America,America,2018-01-01,High,2018-01,2,1324,3.869335347432024,Highly Popular,1.0,2016-2020,4.0,1520.0
199868,52936,2018,1,1166,3,2,8,51,1133.0,3,34,Malioboro Road,Yogyakarta,Flea & Street Markets,3,Family,N'Djamena,United States,Northern America,America,2018-01-01,Average,2018-01,2,1324,3.869335347432024,Highly Popular,0.6,2016-2020,4.0,1520.0
199870,53056,2018,11,1166,5,2,8,51,1133.0,3,34,Malioboro Road,Yogyakarta,Flea & Street Markets,5,Solo,N'Djamena,United States,Northern America,America,2018-11-01,High,2018-11,4,1324,3.869335347432024,Highly Popular,1.0,2016-2020,4.5,1520.0
199871,53056,2018,11,1166,4,2,8,51,1133.0,3,34,Malioboro Road,Yogyakarta,Flea & Street Markets,2,Couples,N'Djamena,United States,Northern America,America,2018-11-01,High,2018-11,4,1324,3.869335347432024,Highly Popular,0.8,2016-2020,4.5,1520.0
199872,53056,2018,11,1166,5,2,8,51,1133.0,3,34,Malioboro Road,Yogyakarta,Flea & Street Markets,5,Solo,N'Djamena,United States,Northern America,America,2018-11-01,High,2018-11,4,1324,3.869335347432024,Highly Popular,1.0,2016-2020,4.5,1520.0
199873,53056,2018,11,1166,4,2,8,51,1133.0,3,34,Malioboro Road,Yogyakarta,Flea & Street Markets,5,Solo,N'Djamena,United States,Northern America,America,2018-11-01,High,2018-11,4,1324,3.869335347432024,Highly Popular,0.8,2016-2020,4.5,1520.0
199876,53429,2017,11,1166,5,3,14,103,3385.0,3,34,Malioboro Road,Yogyakarta,Flea & Street Markets,2,Couples,N'Djamena,Malaysia,South East Asia,Asia,2017-11-01,High,2017-11,25,1324,3.869335347432024,Highly Popular,1.0,2016-2020,4.6,92.0
199877,53429,2018,5,1166,5,3,14,103,3385.0,3,34,Malioboro Road,Yogyakarta,Flea & Street Markets,4,Friends,N'Djamena,Malaysia,South East Asia,Asia,2018-05-01,High,2018-05,25,1324,3.869335347432024,Highly Popular,1.0,2016-2020,4.6,92.0
199878,53429,2018,5,1166,3,3,14,103,3385.0,3,34,Malioboro Road,Yogyakarta,Flea & Street Markets,4,Friends,N'Djamena,Malaysia,South East Asia,Asia,2018-05-01,Average,2018-05,25,1324,3.869335347432024,Highly Popular,0.6,2016-2020,4.6,92.0
199879,53429,2018,5,1166,5,3,14,103,3385.0,3,34,Malioboro Road,Yogyakarta,Flea & Street Markets,4,Friends,N'Djamena,Malaysia,South East Asia,Asia,2018-05-01,High,2018-05,25,1324,3.869335347432024,Highly Popular,1.0,2016-2020,4.6,92.0
199880,53429,2018,6,1166,5,3,14,103,3385.0,3,34,Malioboro Road,Yogyakarta,Flea & Street Markets,4,Friends,N'Djamena,Malaysia,South East Asia,Asia,2018-06-01,High,2018-06,25,1324,3.869335347432024,Highly Popular,1.0,2016-2020,4.6,92.0
199881,53429,2018,5,1166,4,3,14,103,3385.0,3,34,Malioboro Road,Yogyakarta,Flea & Street Markets,4,Friends,N'Djamena,Malaysia,South East Asia,Asia,2018-05-01,High,2018-05,25,1324,3.869335347432024,Highly Popular,0.8,2016-2020,4.6,92.0
199882,53429,2017,11,1166,5,3,14,103,3385.0,3,34,Malioboro Road,Yogyakarta,Flea & Street Markets,2,Couples,N'Djamena,Malaysia,South East Asia,Asia,2017-11-01,High,2017-11,25,1324,3.869335347432024,Highly Popular,1.0,2016-2020,4.6,92.0
199883,53429,2018,5,1166,5,3,14,103,3385.0,3,34,Malioboro Road,Yogyakarta,Flea & Street Markets,4,Friends,N'Djamena,Malaysia,South East Asia,Asia,2018-05-01,High,2018-05,25,1324,3.869335347432024,Highly Popular,1.0,2016-2020,4.6,92.0
