TransactionId,UserId,VisitYear,VisitMonth,AttractionId,Rating,ContinentId,RegionId,CountryId,CityId,AttractionCityId,AttractionTypeId,Attraction,AttractionAddress,AttractionType,VisitModeID,VisitMode,CityName,Country,Region,Continent,VisitDate,RatingCategory,VisitYearMonth
12504,6035,2015,11,640,4,3,14,101,3013,1,63,Sacred Monkey Forest Sanctuary,"Jl. Monkey Forest, Ubud 80571 Indonesia",Nature & Wildlife Areas,4,Friends,Douala,Indonesia,South East Asia,Asia,2015-11-01,High,2015-11
12505,13724,2015,11,640,4,5,21,163,1396,1,63,Sacred Monkey Forest Sanctuary,"Jl. Monkey Forest, Ubud 80571 Indonesia",Nature & Wildlife Areas,3,Family,Douala,United Kingdom,Western Europe,Europe,2015-11-01,High,2015-11
12506,78367,2015,11,640,4,3,14,106,3551,1,63,Sacred Monkey Forest Sanctuary,"Jl. Monkey Forest, Ubud 80571 Indonesia",Nature & Wildlife Areas,2,Couples,Douala,Singapore,South East Asia,Asia,2015-11-01,High,2015-11
12507,82069,2015,11,640,5,2,8,48,545,1,63,Sacred Monkey Forest Sanctuary,"Jl. Monkey Forest, Ubud 80571 Indonesia",Nature & Wildlife Areas,5,Solo,Douala,Canada,Northern America,America,2015-11-01,High,2015-11
12508,29819,2015,11,640,4,5,21,162,7772,1,63,Sacred Monkey Forest Sanctuary,"Jl. Monkey Forest, Ubud 80571 Indonesia",Nature & Wildlife Areas,2,Couples,Douala,Netherlands,Western Europe,Europe,2015-11-01,High,2015-11
12510,24829,2015,11,640,5,5,21,162,7784,1,63,Sacred Monkey Forest Sanctuary,"Jl. Monkey Forest, Ubud 80571 Indonesia",Nature & Wildlife Areas,2,Couples,Douala,Netherlands,Western Europe,Europe,2015-11-01,High,2015-11
12511,37532,2015,11,640,4,5,20,157,7138,1,63,Sacred Monkey Forest Sanctuary,"Jl. Monkey Forest, Ubud 80571 Indonesia",Nature & Wildlife Areas,3,Family,Douala,Spain,Southern Europe,Europe,2015-11-01,High,2015-11
12512,64423,2015,7,640,4,3,12,89,2623,1,63,Sacred Monkey Forest Sanctuary,"Jl. Monkey Forest, Ubud 80571 Indonesia",Nature & Wildlife Areas,2,Couples,Douala,United Arab Emirates,Middle East,Asia,2015-07-01,High,2015-07
12514,63267,2014,12,640,5,4,15,109,4940,1,63,Sacred Monkey Forest Sanctuary,"Jl. Monkey Forest, Ubud 80571 Indonesia",Nature & Wildlife Areas,5,Solo,Douala,Australia,Australia,Australia & Oceania,2014-12-01,High,2014-12
12515,63741,2015,10,640,4,2,8,51,1720,1,63,Sacred Monkey Forest Sanctuary,"Jl. Monkey Forest, Ubud 80571 Indonesia",Nature & Wildlife Areas,5,Solo,Douala,United States,Northern America,America,2015-10-01,High,2015-10
12516,42752,2015,11,640,4,4,15,109,5399,1,63,Sacred Monkey Forest Sanctuary,"Jl. Monkey Forest, Ubud 80571 Indonesia",Nature & Wildlife Areas,5,Solo,Douala,Australia,Australia,Australia & Oceania,2015-11-01,High,2015-11
12517,32444,2015,11,640,5,3,14,101,3140,1,63,Sacred Monkey Forest Sanctuary,"Jl. Monkey Forest, Ubud 80571 Indonesia",Nature & Wildlife Areas,4,Friends,Douala,Indonesia,South East Asia,Asia,2015-11-01,High,2015-11
12518,5764,2015,11,640,5,5,20,157,7112,1,63,Sacred Monkey Forest Sanctuary,"Jl. Monkey Forest, Ubud 80571 Indonesia",Nature & Wildlife Areas,4,Friends,Douala,Spain,Southern Europe,Europe,2015-11-01,High,2015-11
12519,82972,2015,11,640,5,5,21,163,426,1,63,Sacred Monkey Forest Sanctuary,"Jl. Monkey Forest, Ubud 80571 Indonesia",Nature & Wildlife Areas,2,Couples,Douala,United Kingdom,Western Europe,Europe,2015-11-01,High,2015-11
12524,21219,2015,11,640,5,4,15,109,1434,1,63,Sacred Monkey Forest Sanctuary,"Jl. Monkey Forest, Ubud 80571 Indonesia",Nature & Wildlife Areas,3,Family,Douala,Australia,Australia,Australia & Oceania,2015-11-01,High,2015-11
